,zona,fecha,Freq
248,Av. Sabalo-Cerritos,2018-08,102069
249,Av. Sabalo-Cerritos,2018-09,90498
250,Av. Sabalo-Cerritos,2018-10,66521
251,Av. Sabalo-Cerritos,2018-11,76409
252,Av. Sabalo-Cerritos,2018-12,78967
253,Av. Sabalo-Cerritos,2019-01,79875
254,Av. Sabalo-Cerritos,2019-02,80383
255,Av. Sabalo-Cerritos,2019-03,79642
256,Av. Sabalo-Cerritos,2019-04,79376
257,Av. Sabalo-Cerritos,2019-05,78994
258,Av. Sabalo-Cerritos,2019-06,66600
259,Av. Sabalo-Cerritos,2019-07,68237
260,Av. Sabalo-Cerritos,2019-08,84361
261,Av. Sabalo-Cerritos,2019-09,89161
262,Av. Sabalo-Cerritos,2019-10,72991
263,Av. Sabalo-Cerritos,2019-11,72256
264,Av. Sabalo-Cerritos,2019-12,72576
265,Av. Sabalo-Cerritos,2020-01,73992
266,Av. Sabalo-Cerritos,2020-02,71794
267,Av. Sabalo-Cerritos,2020-03,72212
268,Av. Sabalo-Cerritos,2020-04,78253
269,Av. Sabalo-Cerritos,2020-05,43389
270,Av. Sabalo-Cerritos,2020-06,41657
271,Av. Sabalo-Cerritos,2020-07,44113
272,Av. Sabalo-Cerritos,2020-08,62755
273,Av. Sabalo-Cerritos,2020-09,69928
274,Av. Sabalo-Cerritos,2020-10,62987
275,Av. Sabalo-Cerritos,2020-11,67806
276,Av. Sabalo-Cerritos,2020-12,71860
277,Av. Sabalo-Cerritos,2021-01,66855
278,Av. Sabalo-Cerritos,2021-02,68267
279,Av. Sabalo-Cerritos,2021-03,67178
280,Av. Sabalo-Cerritos,2021-04,70221
281,Av. Sabalo-Cerritos,2021-05,82145
282,Av. Sabalo-Cerritos,2021-06,88767
283,Av. Sabalo-Cerritos,2021-07,95801
284,Av. Sabalo-Cerritos,2021-08,89086
285,Av. Sabalo-Cerritos,2021-09,79191
286,Av. Sabalo-Cerritos,2021-10,57131
287,Av. Sabalo-Cerritos,2021-11,71273
288,Av. Sabalo-Cerritos,2021-12,68042
289,Central,2018-01,490983
290,Central,2018-02,437994
291,Central,2018-03,466329
292,Central,2018-04,478772
293,Central,2018-05,478979
294,Central,2018-06,497588
295,Central,2018-07,490442
296,Central,2018-08,496355
297,Central,2018-09,491396
298,Central,2018-10,465027
299,Central,2018-11,466467
300,Central,2018-12,471052
301,Central,2019-01,471705
302,Central,2019-02,463891
303,Central,2019-03,438527
