"","Wcol","Anio","consumo","mes"
"172","CONDOMINIOS EL TORO",2019,"3058","enero"
"173","CONDOMINIOS LAS GAVIAS",2019,"852","enero"
"174","CONDOMINIOS LAS GAVIAS",2021,"1443","enero"
"175","CONDOMINIOS LAS GAVIAS",2020,"1358","enero"
"176","CONDOMINIOS LAS GAVIAS",2018,"1151","enero"
"177","CONDOMINIOS MARINA REAL",2019,"792","enero"
"178","CONDOMINIOS MARINA REAL",2021,"804","enero"
"179","CONDOMINIOS MARINA REAL",2020,"586","enero"
"180","CONDOMINIOS MARINA REAL",2018,"1034","enero"
"181","CONDOMINIOS PLAZA SAN IGNACIO",2021,"461","enero"
"182","CONDOMINIOS PLAZA SAN IGNACIO",2018,"383","enero"
"183","CONDOMINIOS PLAZA SAN IGNACIO",2019,"429","enero"
"184","CONDOMINIOS PLAZA SAN IGNACIO",2020,"414","enero"
"185","CONDOMINIOS PUERTA AL MAR",2020,"3263","enero"
"186","CONDOMINIOS PUERTA AL MAR",2018,"2339","enero"
"187","CONDOMINIOS PUERTA AL MAR",2019,"2102","enero"
"188","CONDOMINIOS PUERTA AL MAR",2021,"3240","enero"
"189","CONJ. HAB. FOVISSSTE JABALIES",2019,"6901","enero"
"190","CONJ. HAB. FOVISSSTE JABALIES",2021,"7252","enero"
"191","CONJ. HAB. FOVISSSTE JABALIES",2020,"6388","enero"
"192","CONJ. HAB. FOVISSSTE JABALIES",2018,"7894","enero"
"193","CONJ. HABITACIONAL BUROCRATA",2020,"684","enero"
"194","CONJ. HABITACIONAL BUROCRATA",2021,"716","enero"
"195","CONJ. HABITACIONAL BUROCRATA",2019,"672","enero"
"196","CONJ. HABITACIONAL BUROCRATA",2018,"690","enero"
"197","CONJ.HABIT. LAS OLAS BUROCRATA",2021,"1693","enero"
"198","CONJ.HABIT. LAS OLAS BUROCRATA",2018,"1914","enero"
"199","CONJ.HABIT. LAS OLAS BUROCRATA",2020,"1532","enero"
"200","CONJ.HABIT. LAS OLAS BUROCRATA",2019,"1661","enero"
"201","CONSTITUCION",2021,"11103","enero"
"202","CONSTITUCION",2018,"10915","enero"
"203","CONSTITUCION",2019,"9893","enero"
"204","CONSTITUCION",2020,"9804","enero"
"205","CORREDOR DE ABASTOS",2018,"1958","enero"
"206","CORREDOR DE ABASTOS",2020,"1296","enero"
"207","CORREDOR DE ABASTOS",2021,"1622","enero"
"208","CORREDOR DE ABASTOS",2019,"1591","enero"
"209","DEMETRIO VALLEJO",2021,"524","enero"
"210","DEMETRIO VALLEJO",2018,"567","enero"
"211","DEMETRIO VALLEJO",2020,"382","enero"
"212","DEMETRIO VALLEJO",2019,"463","enero"
"213","DOCE DE MAYO",2019,"5287","enero"
"214","DOCE DE MAYO",2021,"5610","enero"
"215","DOCE DE MAYO",2020,"5265","enero"
"216","DOCE DE MAYO",2018,"5578","enero"
"217","DORADOS DE VILLA",2019,"4259","enero"
"218","DORADOS DE VILLA",2020,"4736","enero"
"219","DORADOS DE VILLA",2018,"4274","enero"
"220","DORADOS DE VILLA",2021,"4954","enero"
"221","EJIDAL",2021,"5302","enero"
"222","EJIDAL",2020,"4751","enero"
"223","EJIDAL",2019,"5024","enero"
"224","EJIDAL",2018,"4661","enero"
"225","EJIDO RINCON DE URIAS",2020,"7287","enero"
"226","EJIDO RINCON DE URIAS",2021,"7402","enero"
"227","EJIDO RINCON DE URIAS",2019,"8042","enero"
"228","EJIDO RINCON DE URIAS",2018,"8316","enero"
"229","EL CASTILLO",2019,"11048","enero"
"230","EL CASTILLO",2021,"12738","enero"
"231","EL CASTILLO",2018,"11654","enero"
"232","EL CASTILLO",2020,"11365","enero"
"233","EL CONCHI II",2020,"2346","enero"
"234","EL CONCHI II",2019,"2362","enero"
"235","EL CONCHI II",2018,"2880","enero"
"236","EL CONCHI II",2021,"2944","enero"
"237","EL PESCADOR",2019,"772","enero"
"238","EL PESCADOR",2020,"1140","enero"
"239","EL PESCADOR",2018,"822","enero"
"240","EL PESCADOR",2021,"1305","enero"
"241","EL ZAPOTE",2018,"1531","enero"
"242","EL ZAPOTE",2020,"1466","enero"
"243","EL ZAPOTE",2021,"1645","enero"
"244","EL ZAPOTE",2019,"1526","enero"
"245","EMILIANO ZAPATA",2019,"11732","enero"
"246","EMILIANO ZAPATA",2018,"11756","enero"
"247","EMILIANO ZAPATA",2021,"10908","enero"
"248","EMILIANO ZAPATA",2020,"12494","enero"
"249","ESPERANZA",2018,"8424","enero"
"250","ESPERANZA",2019,"8060","enero"
"251","ESPERANZA",2020,"8269","enero"
"252","ESPERANZA",2021,"8250","enero"
"253","ESTERO",2020,"13550","enero"
"254","ESTERO",2019,"14227","enero"
"255","ESTERO",2021,"14270","enero"
"256","ESTERO",2018,"14703","enero"
"257","FEDERICO VELARDE MELLADO",2018,"9767","enero"
"258","FEDERICO VELARDE MELLADO",2019,"8447","enero"
"259","FEDERICO VELARDE MELLADO",2020,"8726","enero"
"260","FEDERICO VELARDE MELLADO",2021,"8677","enero"
"261","FELICIDAD",2018,"3455","enero"
"262","FELICIDAD",2021,"3137","enero"
"263","FELICIDAD",2020,"2750","enero"
"264","FELICIDAD",2019,"3347","enero"
"265","FELIPE ANGELES",2019,"1498","enero"
"266","FELIPE ANGELES",2018,"1238","enero"
"267","FELIPE ANGELES",2021,"1351","enero"
"268","FELIPE ANGELES",2020,"1189","enero"
"269","FERROCARRILERA",2020,"6629","enero"
"270","FERROCARRILERA",2018,"5286","enero"
"271","FERROCARRILERA",2019,"5036","enero"
"272","FERROCARRILERA",2021,"6523","enero"
"273","FLOTA DEPORTIVA",2018,"759","enero"
"274","FLOTA DEPORTIVA",2019,"1681","enero"
"275","FLOTA DEPORTIVA",2021,"768","enero"
"276","FLOTA DEPORTIVA",2020,"561","enero"
"277","FOVISSSTE ARBOLEDAS I",2021,"4192","enero"
"278","FOVISSSTE ARBOLEDAS I",2019,"4291","enero"
"279","FOVISSSTE ARBOLEDAS I",2018,"4448","enero"
"280","FOVISSSTE ARBOLEDAS I",2020,"4290","enero"
"281","FOVISSSTE ARBOLEDAS II",2021,"2613","enero"
"282","FOVISSSTE ARBOLEDAS II",2019,"2183","enero"
"283","FOVISSSTE ARBOLEDAS II",2020,"2403","enero"
"284","FOVISSSTE ARBOLEDAS II",2018,"2514","enero"
"285","FOVISSSTE ARBOLEDAS III",2021,"2901","enero"
"286","FOVISSSTE ARBOLEDAS III",2019,"2613","enero"
"287","FOVISSSTE ARBOLEDAS III",2020,"2659","enero"
"288","FOVISSSTE ARBOLEDAS III",2018,"2813","enero"
"289","FOVISSSTE ESPERANZA",2019,"6855","enero"
"290","FOVISSSTE ESPERANZA",2018,"6276","enero"
"291","FOVISSSTE ESPERANZA",2021,"6791","enero"
"292","FOVISSSTE ESPERANZA",2020,"6714","enero"
"293","FRAC.HACIENDA DE SEMINARIO III",2020,"1120","enero"
"294","FRAC.HACIENDA DE SEMINARIO III",2019,"5709","enero"
"295","FRAC.HACIENDA DE SEMINARIO III",2018,"3358","enero"
"296","FRAC.HACIENDA DE SEMINARIO III",2021,"1535","enero"
"297","FRACC. ALAMEDA",2018,"19701","enero"
"298","FRACC. ALAMEDA",2021,"17450","enero"
"299","FRACC. ALAMEDA",2019,"17797","enero"
"300","FRACC. ALAMEDA",2020,"16938","enero"
"301","FRACC. ALMAR",2020,"2202","enero"
"302","FRACC. ALMAR",2018,"0","enero"
"303","FRACC. ALMAR",2021,"3282","enero"
"304","FRACC. ALMAR",2019,"1856","enero"
"305","FRACC. ALTABRISA RESIDENCIAL",2021,"3844","enero"
"306","FRACC. ALTABRISA RESIDENCIAL",2020,"2466","enero"
"307","FRACC. ALTABRISA RESIDENCIAL",2018,"1734","enero"
"308","FRACC. ALTABRISA RESIDENCIAL",2019,"2411","enero"
"309","FRACC. AMP. VILLA VERDE",2020,"4138","enero"
"310","FRACC. AMP. VILLA VERDE",2021,"4484","enero"
"311","FRACC. AMP. VILLA VERDE",2018,"4751","enero"
"312","FRACC. AMP. VILLA VERDE",2019,"4573","enero"
"313","FRACC. ANTIGUO AEROPUERTO",2019,"1982","enero"
"314","FRACC. ANTIGUO AEROPUERTO",2021,"2048","enero"
"315","FRACC. ANTIGUO AEROPUERTO",2018,"1661","enero"
"316","FRACC. ANTIGUO AEROPUERTO",2020,"1634","enero"
"317","FRACC. ARB.INV. SECC.MAÑANITAS",2018,"1098","enero"
"318","FRACC. ARB.INV. SECC.MAÑANITAS",2020,"903","enero"
"319","FRACC. ARB.INV. SECC.MAÑANITAS",2019,"1085","enero"
"320","FRACC. ARB.INV. SECC.MAÑANITAS",2021,"1012","enero"
"321","FRACC. ARROYOS DE LA MARINA",2018,"983","enero"
"322","FRACC. ARROYOS DE LA MARINA",2019,"481","enero"
"323","FRACC. ARROYOS DE LA MARINA",2020,"490","enero"
"324","FRACC. ARROYOS DE LA MARINA",2021,"1187","enero"
"325","FRACC. AZUL PACIFIC",2019,"1686","enero"
"326","FRACC. AZUL PACIFIC",2018,"2423","enero"
"327","FRACC. AZUL PACIFIC",2021,"2880","enero"
"328","FRACC. AZUL PACIFIC",2020,"3172","enero"
"329","FRACC. BAHIA DE TORTUGAS I",2020,"609","enero"
"330","FRACC. BAHIA DE TORTUGAS I",2018,"510","enero"
"331","FRACC. BAHIA DE TORTUGAS I",2019,"603","enero"
"332","FRACC. BAHIA DE TORTUGAS I",2021,"750","enero"
"333","FRACC. BAHIAS DE MAZATLAN",2018,"1149","enero"
"334","FRACC. BAHIAS DE MAZATLAN",2020,"977","enero"
"335","FRACC. BAHIAS DE MAZATLAN",2021,"1028","enero"
"336","FRACC. BAHIAS DE MAZATLAN",2019,"961","enero"
"337","FRACC. BALCONES DE LOMA LINDA",2018,"907","enero"
"338","FRACC. BALCONES DE LOMA LINDA",2019,"927","enero"
"339","FRACC. BALCONES DE LOMA LINDA",2020,"758","enero"
"340","FRACC. BALCONES DE LOMA LINDA",2021,"1021","enero"
"341","FRACC. BOSQUES DEL ARROYO",2019,"2033","enero"
